AOapek,Karel,Karel AOapek
Herzog,Amy,Amy Herzog
Hesiod,,Hesiod
Hesse,Hermann,Hermann Hesse
Heyer,Georgette,Georgette Heyer
Heyerdahl,Thor,Thor Heyerdahl
Hilton,James,James Hilton
Hinton,S. E.,S. E. Hinton
Hitler,Adolf,Adolf Hitler
Hobbes,Thomas,Thomas Hobbes
Hobhouse,L. T.,L. T. Hobhouse
Hodges,Andrew,Andrew Hodges
Hodgson,William Hope,William Hope Hodgson
Hoffmann,E. T. A.,E. T. A. Hoffmann
Hofstadter,Douglas,Douglas Hofstadter
Hofstadter,Richard,Richard Hofstadter
Hogg,James,James Hogg
Holderlin,Friedrich,Friedrich Holderlin
Holmes,Richard,Richard Holmes
Holmes,Robert Derby,Robert Derby Holmes
Homer,,Homer
Hooft,P. C.,P. C. Hooft
Hope,Anthony,Anthony Hope
Hopkins,Gerald Manley,Gerald Manley Hopkins
Horace,,Horace
Horkheimer,Max,Max Horkheimer
Hornung,E. W.,E. W. Hornung
Hosseini,Khaled,Khaled Hosseini
Housman,A. E.,A. E. Housman
Howard,Robert E.,Robert E. Howard
Howe,Fanny,Fanny Howe
Howells,William Dea,William Dea Howells
Howells,William Dean,William Dean Howells
Hughes,Langston,Langston Hughes
Hughes,Ted,Ted Hughes
Hughes,Thomas,Thomas Hughes
Hugo,Victor,Victor Hugo
Huizinga,Johan,Johan Huizinga
Hume,David,David Hume
Hume,Fergus,Fergus Hume
Hurston,Zora Neale,Zora Neale Hurston
Husserl,Edmund,Edmund Husserl
Huxley,Aldous,Aldous Huxley
Huygens,Constantijn,Constantijn Huygens
Huysmans,J.-K.,J.-K. Huysmans
Hyne,C. J. Cutcliffe,C. J. Cutcliffe Hyne
Hypatia,,Hypatia
Ibsen,Henrik,Henrik Ibsen
Ionesco,Eugene,Eugene Ionesco
Irigaray,Luce,Luce Irigaray
Irving,John,John Irving
Irving,Washington,Washington Irving
Ishiguro,Kazuo,Kazuo Ishiguro
Israel,Marvin,Marvin Israel
Jabes,Edmond,Edmond Jabes
Jacobs,Harriet,Harriet Jacobs
Jacobs,Jane,Jane Jacobs
Jacobs,Joseph,Joseph Jacobs
