`Abd,al-Rahman,Abnudi,,,,,,
Gyorgy,Faludy,,,,,,,
H.,L.,Mencken,,,,,,
H.,P.,Lovecraft,,,,,,
H.,Rider,Haggard,,,,,,
H.,G.,Wells,,,,,,
Hadewijch,,,,,,,,
Han,Shan,,,,,,,
Hannah,Arendt,,,,,,,
Hannah,Arendt,,,,,,,
Hannah,Senesh,,,,,,,
Harold,Pinter,,,,,,,
Harold,Pinter,,,,,,,
Harold,Pinter,,,,,,,
Harold,Pinter,,,,,,,
Harper,Lee,,,,,,,
Harper,Lee,,,,,,,
Harriet,Beecher,Stowe,,,,,,
Harriet,Jacobs,,,,,,,
Harry,Martinson,,,,,,,
Harry,Martinson,,,,,,,
Havelock,Ellis,,,,,,,
Heather,L.,Clark,,,,,,
Hector,Viel,Temperley,,,,,,
Heinrich,Harrer,,,,,,,
Heinrich,Heine,,,,,,,
Helen,Gardner,,,,,,,
Helen,Keller,,,,,,,
Helen,MacDonald,,,,,,,
Hendrik,Tollens,,,,,,,
Henri,Michaux,,,,,,,
Henrik,Ibsen,,,,,,,
Henrik,Ibsen,,,,,,,
Henry,Adams,,,,,,,
Henry,Adams,,,,,,,
Henry,David,Thoreau,,,,,,
Henry,Fielding,,,,,,,
Henry,James,,,,,,,
Henry,James,,,,,,,
Henry,James,,,,,,,
Henry,James,,,,,,,
Henryk,Sienkiewicz,,,,,,,
Heraclitus,,,,,,,,
Herman,Gorter,,,,,,,
Herman,Gorter,,,,,,,
Herman,Melville,,,,,,,
Herman,Wouk,,,,,,,
Hermann,Hesse,,,,,,,
Hermann,Hesse,,,,,,,
Herodotus,,,,,,,,
Hesiod,,,,,,,,
Hesiod,,,,,,,,
Hieronymus,van,Alphen,,,,,,
Hilda,Doolittle,,,,,,,
Hilda,Doolittle,,,,,,,
Hindu,scripture,,,,,,,
Ho,Chi,Minn,,,,,,
Homer,,,,,,,,
Homer,,,,,,,,
Honore,de,Balzac,,,,,,
Honore,de,Balzac,,,,,,
Horace,,,,,,,,
Howard,Pyle,,,,,,,
Howard,Zinn,,,,,,,
Hugo,Claus,,,,,,,
Hunter,S.,Thompson,,,,,,
Ian,McEwan,,,,,,,
Ibn,Battuta,,,,,,,
Ida,Gerhardt,,,,,,,
Ida,Vitale,,,,,,,
Igor,Stravinsky,,,,,,,
Ilya,Kaminsky,,,,,,,
Imants,Ziedonis,,,,,,,
Immanuel,Kant,,,,,,,
Inger,Christensen,,,,,,,
Irma,S.,Rombauer,,,,,,
Marion,Rombauer,Becker,,,,,,
Ethan,Becker,,,,,,,
Irving,Babbitt,,,,,,,
Isaac,Newton,,,,,,,
Isabel,Allende,,,,,,,
Isabel,Allende,,,,,,,
Isabel,Wilkerson,,,,,,,
Isaiah,Berlin,,,,,,,
Isak,Dinesen,,,,,,,
Ishmael,Beah,,,,,,,
Ivan,Sergeevich,Turgenev,,,,,,
Izaak,Walton,,,,,,,
J.,C.,Bloem,,,,,,
J.D.,D.,Salinger,,,,,,
J.H.,H.,Leopold,,,,,,
J.,J.,Slauerhoff,,,,,,
J.M.,,Barrie,,,,,,
J.,R.,R.,Tolkien,,,,,
Jack,Kerouac,,,,,,,
Jack,London,,,,,,,
Jacob,Cats,,,,,,,
Jacqueline,Woodson,,,,,,,
Jacques,Cousteau,,,,,,,
Jacques,Perk,,,,,,,
Jacques,Prevert,,,,,,,
Jaime,Gil,de,Biedma,,,,,
Jalal,al-Din,Muhammad,Rumi,,,,,
James,A.,Emanuel,Comp,,,,,
Theodore,L.,Gross,,,,,,
James,Agee,,,,,,,
James,Baldwin,,,,,,,
James,Baldwin,,,,,,,
James,Baldwin,,,,,,,
James,Boswell,,,,,,,
James,Boswell,,,,,,,
James,Burnham,,,,,,,
James,Burnham,,,,,,,
James,D.,Watson,,,,,,
James,Dashner,,,,,,,
James,Fenimore,Cooper,,,,,,
James,George,Frazer,,,,,,
James,Gleick,,,,,,,
James,Hilton,,,,,,,
James,Joyce,,,,,,,
James,Joyce,,,,,,,
James,Joyce,,,,,,,
James,M.,McPherson,,,,,,
James,McBride,,,,,,,
James,McNeill,Whistler,,,,,,
James,Patterson,,,,,,,
James,Patterson,,,,,,,
James,Patterson,,,,,,,
James,Patterson,,,,,,,
James,Patterson,,,,,,,
James,West,Davidson,,,,,,
John,Rugge,,,,,,,
Jan,Morris,,,,,,,
Jane,Addams,,,,,,,
Jane,Austen,,,,,,,
Jane,Austen,,,,,,,
Jane,Austen,,,,,,,
Jane,Austen,,,,,,,
Jane,Austen,,,,,,,
Jane,Jacobs,,,,,,,
Jane,Jacobs,,,,,,,
Jane,Kenyon,,,,,,,
Janet,Evanovich,,,,,,,
Janet,Malcolm,,,,,,,
Jared,Diamond,,,,,,,
Jason,Reynolds,,,,,,,
Jean,Craighead,George,,,,,,
Jean,Craighead,George,,,,,,
Jean,de,La,Bruyere,,,,,
Jean,de,la,Croix,,,,,
Jean,de,La,Fontaine,,,,,
Jean,Genet,,,,,,,
Jean,M.,Auel,,,,,,
Jean,M.,Auel,,,,,,
Jean,Paul,Sartre,,,,,,
Jean,Paul,Sartre,,,,,,
Jean,Paul,Sartre,,,,,,
Jean,Racine,,,,,,,
Jean,Toomer,,,,,,,
Jean-Jacques,Rousseau,,,,,,,
Jean-Jacques,Rousseau,,,,,,,
Jean-Jacques,Rousseau,,,,,,,
Jean-Jacques,Rousseau,,,,,,,
Jean-Paul,Sartre,,,,,,,
Jean-Paul,Satre,,,,,,,
Jeff,Kinney,,,,,,,
Jeff,Kinney,,,,,,,
Jeff,Kinney,,,,,,,
Jessica,Mitford,,,,,,,
Joachim,Du,Bellay,,,,,,
Joan,Didion,,,,,,,
Joan,Didion,,,,,,,
Joanna,Murray-Smith,,,,,,,
Jodi,Picoult,,,,,,,
Johan,Huizinga,,,,,,,
Johann,David,Wyss,,,,,,
Johann,Wolfgang,von,Goethe,,,,,
Johann,Wolfgang,von,Goethe,,,,,
Johann,Wolfgang,von,Goethe,,,,,
Johanna,Spyri,,,,,,,
John,Ashbery,,,,,,,
John,Ashbery,,,,,,,
John,Aubrey,,,,,,,
John,Berger,,,,,,,
John,Berryman,,,,,,,
John,Bunyan,,,,,,,
John,Cooper,Clarke,,,,,,
John,Donne,,,,,,,
John,G.,Neihardt,,,,,,
John,Galsworthy,,,,,,,
John,Green,,,,,,,
John,Grisham,,,,,,,
John,Gross,,,,,,,
John,Hersey,,,,,,,
John,Irving,,,,,,,
John,Irving,,,,,,,
John,Keats,,,,,,,
John,Keats,,,,,,,
John,Keegan,,,,,,,
John,Kenneth,Galbraith,,,,,,
John,Knowles,,,,,,,
John,Le,Carre,,,,,,
John,Locke,,,,,,,
John,Locke,,,,,,,
John,Logan,,,,,,,
John,Masefield,,,,,,,
John,Maynard,Keynes,,,,,,
John,Milton,,,,,,,
John,Muir,,,,,,,
John,Osborne,,,,,,,
John,Patrick,Shanley,,,,,,
John,Patrick,Shanley,,,,,,
John,Rawls,,,,,,,
John,Reed,,,,,,,
John,Steinbeck,,,,,,,
John,Stuart,Mill,,,,,,
John,Szarkowski,,,,,,,
John,Wilmot,,,,,,,
Jomo,Kenyatta,,,,,,,
Jon,Krakauer,,,,,,,
Jon,Krakauer,,,,,,,
Jonathan,Raban,,,,,,,
Jonathan,Swift,,,,,,,
Jonathan,Swift,,,,,,,
Joost,van,den,Vondel,,,,,
